City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Naples,IT,40.8333,14.25,66.81,71,40,1.01,light rain
152,Skibbereen,IE,51.55,-9.2667,60.6,96,100,15.95,overcast clouds
153,Chicama,PE,-7.8447,-79.1469,61.34,70,89,8.52,overcast clouds
154,Namibe,AO,-15.1961,12.1522,68.49,69,46,14.14,scattered clouds
155,Waterloo,CA,43.4668,-80.5164,67.08,99,90,3.0,overcast clouds
156,Oranjestad,AW,12.524,-70.027,87.75,62,40,19.57,scattered clouds
157,Las Vigas,MX,19.6333,-97.0833,57.65,53,49,4.12,scattered clouds
158,Ust-Nera,RU,64.5667,143.2,21.63,91,94,5.39,overcast clouds
159,Oneonta,US,42.4529,-75.0638,70.11,83,0,3.53,clear sky
160,Kampene,CD,-3.6,26.6667,75.36,77,80,1.52,broken clouds
161,Klaksvik,FO,62.2266,-6.589,52.72,97,100,22.01,overcast clouds
162,Poum,NC,-20.2333,164.0167,74.17,68,90,15.61,overcast clouds
163,Bilibino,RU,68.0546,166.4372,-1.23,98,91,3.87,overcast clouds
164,Goure,NE,13.9835,10.2704,96.03,11,41,8.08,scattered clouds
165,Barrow,US,71.2906,-156.7887,33.82,86,90,6.91,overcast clouds
166,Kitimat,CA,54.0524,-128.6534,43.18,33,100,2.51,overcast clouds
167,Port Hardy,CA,50.6996,-127.4199,44.6,100,75,2.3,broken clouds
168,Bintulu,MY,3.1667,113.0333,77.41,100,40,0.0,scattered clouds
169,Arlit,NE,18.7369,7.3853,96.96,8,0,15.64,clear sky
170,Tefe,BR,-3.3542,-64.7114,87.91,70,20,2.86,light rain
171,Labuhan,ID,-6.8844,112.2051,80.04,68,27,9.04,scattered clouds
172,Dedza,MW,-14.3779,34.3332,70.5,29,10,8.34,clear sky
173,Guaruja,BR,-23.9931,-46.2564,73.17,52,90,1.01,overcast clouds
174,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,83,75,16.11,broken clouds
175,Sindal,DK,57.4712,10.2031,58.77,78,100,4.65,overcast clouds
176,Sorland,NO,67.667,12.6934,44.46,66,100,19.98,overcast clouds
177,Geraldton,AU,-28.7667,114.6,52.21,87,75,5.75,broken clouds
178,Bakchar,RU,57.0186,82.0711,40.33,91,100,6.85,overcast clouds
179,Shuya,RU,56.8487,41.3883,41.29,74,0,4.0,clear sky
180,Port Hedland,AU,-20.3167,118.5667,68.05,94,0,5.75,clear sky
181,Yarmouth,US,41.7057,-70.2286,72.97,71,1,5.75,clear sky
182,Thompson,CA,55.7435,-97.8558,61.7,66,100,8.1,overcast clouds
183,Ahipara,NZ,-35.1667,173.1667,56.68,93,43,10.47,scattered clouds
184,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,99,12.35,light rain
185,Olinda,BR,-8.0089,-34.8553,83.93,70,40,10.36,scattered clouds
186,Komsomolskiy,UZ,40.4272,71.7189,57.92,72,98,4.61,light rain
187,Shimoda,JP,34.6667,138.95,71.71,88,65,6.22,broken clouds
188,Deulgaon Raja,IN,20.0167,76.0333,77.36,78,77,5.99,broken clouds
189,Kabare,CD,-2.4683,28.8242,66.54,79,50,0.45,scattered clouds
190,Koumac,NC,-20.5667,164.2833,71.55,70,71,3.78,broken clouds
191,Tharad,IN,24.3961,71.6267,88.66,48,63,5.53,broken clouds
192,Maceio,BR,-9.6658,-35.7353,89.04,55,75,10.36,broken clouds
193,Hovd,MN,48.0056,91.6419,30.99,30,0,3.71,clear sky
194,Khovu-Aksy,RU,51.1333,93.6,26.22,92,100,3.69,overcast clouds
195,Gararu,BR,-9.9675,-37.0833,93.43,36,94,14.58,overcast clouds
196,Launceston,AU,-41.45,147.1667,45.61,87,50,3.0,scattered clouds
197,Eskil,TR,38.4017,33.4131,59.54,39,0,4.92,clear sky
198,Borova,UA,50.1763,30.1043,49.33,39,16,7.67,few clouds
199,Steinbach,DE,50.1667,8.5667,60.87,68,20,4.61,few clouds
200,Severo-Yeniseyskiy,RU,60.3725,93.0408,31.08,98,100,5.59,light snow
201,Busdi,PH,8.2761,125.2514,69.08,92,95,3.85,overcast clouds
202,Sheridan,US,44.8333,-106.9173,62.98,39,1,3.0,clear sky
203,Christchurch,NZ,-43.5333,172.6333,53.94,75,43,4.61,scattered clouds
204,Baie-Saint-Paul,CA,47.4411,-70.4986,71.73,51,51,4.23,broken clouds
205,Yar-Sale,RU,66.8333,70.8333,43.21,84,100,20.83,overcast clouds
206,Ndele,CF,8.4109,20.6473,80.17,76,97,0.74,light rain
207,Mount Pleasant,US,32.7941,-79.8626,83.17,84,75,1.01,broken clouds
208,Uhlove,UA,44.8215,33.6045,52.57,70,24,15.19,few clouds
209,Dire,ML,12.2833,-10.9667,91.04,60,98,4.43,light rain
210,Trinidad,BO,-14.8333,-64.9,91.38,52,75,3.44,broken clouds
211,Mount Gambier,AU,-37.8333,140.7667,42.62,96,99,5.28,overcast clouds
212,Faanui,PF,-16.4833,-151.75,78.1,75,22,10.58,few clouds
213,Nyurba,RU,63.2842,118.3319,33.62,98,100,7.96,overcast clouds
214,Paamiut,GL,61.994,-49.6678,36.64,56,2,9.89,clear sky
215,Atbasar,KZ,51.8,68.3333,38.97,68,68,7.25,broken clouds
216,Diego De Almagro,CL,-26.3667,-70.05,75.34,20,67,9.6,broken clouds
217,Katsuura,JP,35.1333,140.3,74.1,80,93,15.86,overcast clouds
218,Simbahan,PH,6.3032,120.5836,83.34,78,37,10.27,scattered clouds
219,Axim,GH,4.8699,-2.2405,81.52,76,86,7.43,light rain
220,General Pico,AR,-35.6566,-63.7568,65.1,33,0,12.19,clear sky
221,Talcahuano,CL,-36.7167,-73.1167,56.88,77,20,14.97,few clouds
222,Najran,SA,17.4924,44.1277,83.05,32,7,15.19,clear sky
223,Inhambane,MZ,-23.865,35.3833,73.38,68,40,6.91,scattered clouds
224,Coquimbo,CL,-29.9533,-71.3436,58.73,72,90,11.5,overcast clouds
225,Agadez,NE,19.75,10.25,90.43,12,0,8.99,clear sky
226,Radhanpur,IN,23.8333,71.6,89.76,50,26,4.97,scattered clouds
227,Palimbang,PH,6.2106,124.1894,80.04,80,88,4.5,overcast clouds
228,Churapcha,RU,62.0025,132.4325,25.63,82,39,7.02,scattered clouds
229,Kaeo,NZ,-35.1,173.7833,54.32,97,59,7.07,broken clouds
230,Richards Bay,ZA,-28.783,32.0377,67.91,80,81,15.03,broken clouds
231,Tooele,US,40.5308,-112.2983,62.89,82,40,0.0,scattered clouds
232,Artur Nogueira,BR,-22.5731,-47.1725,76.39,64,98,7.18,overcast clouds
233,Salima,MW,-13.7804,34.4587,85.64,26,7,11.1,clear sky
234,Chokurdakh,RU,70.6333,147.9167,8.49,90,94,5.55,overcast clouds
235,Dunedin,NZ,-45.8742,170.5036,52.45,78,98,3.89,light rain
236,Imbituba,BR,-28.24,-48.6703,67.89,60,93,13.82,overcast clouds
237,San Ramon,US,37.7799,-121.978,60.17,77,1,5.99,clear sky
238,Ballangen,NO,68.3428,16.8315,42.4,60,75,18.41,broken clouds
239,Vitim,RU,59.4511,112.5578,34.23,98,100,10.36,light rain
240,Rio Grande,BR,-32.035,-52.0986,62.94,52,9,9.91,clear sky
241,Kurayoshi,JP,35.4333,133.8167,66.02,89,2,3.51,clear sky
242,Berlevag,NO,70.8578,29.0864,39.2,70,100,24.18,overcast clouds
243,Kodinsk,RU,58.6881,99.1844,33.3,98,100,6.69,light snow
244,Sydney,AU,-33.8679,151.2073,61.9,68,75,1.99,broken clouds
245,Korla,CN,41.7597,86.1469,50.88,53,100,24.56,overcast clouds
246,Te Anau,NZ,-45.4167,167.7167,49.35,96,100,2.46,overcast clouds
247,Kapit,MY,2.0167,112.9333,75.61,91,17,1.7,few clouds
248,Borogontsy,RU,62.6683,131.1683,26.17,86,73,5.39,broken clouds
249,Tsaratanana,MG,-16.7833,47.65,80.96,38,3,5.19,clear sky
250,Sokoto,NG,13.0609,5.239,97.81,23,98,2.71,overcast clouds
251,Cap Malheureux,MU,-19.9842,57.6142,73.89,76,2,1.01,clear sky
252,Maldonado,UY,-34.6667,-54.9167,53.22,51,5,7.67,clear sky
253,Puerto Colombia,CO,10.9878,-74.9547,89.69,73,100,2.86,overcast clouds
254,Esperance,AU,-33.8667,121.9,56.79,73,39,11.63,scattered clouds
255,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.43,67,95,8.57,overcast clouds
256,Puerto Palomas,MX,31.7667,-107.6167,70.93,26,55,7.45,broken clouds
257,Vao,NC,-22.6667,167.4833,68.54,65,26,15.28,scattered clouds
258,Ligayan,PH,4.6533,119.4706,84.18,75,13,11.45,few clouds
259,Narsaq,GL,60.9167,-46.05,48.42,41,10,8.79,clear sky
260,San Angelo,US,31.4638,-100.437,86.29,45,1,1.01,clear sky
261,Rorvik,NO,64.8621,11.2373,48.18,71,97,7.65,overcast clouds
262,Panguna,PG,-6.3164,155.4848,67.33,94,61,1.81,broken clouds
263,Baoqing,CN,46.3317,132.2111,45.61,66,53,7.25,broken clouds
264,Bernalillo,US,35.05,-106.6673,73.26,51,75,3.44,broken clouds
265,Bloemhof,ZA,-27.6469,25.607,64.53,75,98,15.82,moderate rain
266,Amapa,BR,1.0,-52.0,97.92,33,58,4.72,broken clouds
267,Novyy Urengoy,RU,66.0833,76.6333,42.57,93,100,13.65,light rain
268,Senneterre,CA,48.3835,-77.2328,64.62,64,21,5.06,few clouds
269,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,104.4,15,7,9.71,clear sky
270,Fort Nelson,CA,58.8053,-122.7002,32.09,63,11,2.35,few clouds
271,Lavrentiya,RU,65.5833,-171.0,35.38,94,100,2.35,overcast clouds
272,Alugan,PH,12.2188,125.4808,77.77,93,100,8.9,overcast clouds
273,Lujiang,CN,31.2581,117.2817,60.85,89,100,12.48,overcast clouds
274,Waipawa,NZ,-41.4122,175.5153,55.02,95,100,3.96,moderate rain
275,Codrington,AU,-38.2667,141.9667,43.83,93,99,8.46,overcast clouds
276,Dickinson,US,29.4608,-95.0513,85.19,60,1,3.44,clear sky
277,Ostrovnoy,RU,68.0531,39.5131,48.72,90,100,27.51,overcast clouds
278,Hasaki,JP,35.7333,140.8333,70.29,79,95,16.53,overcast clouds
279,Lengshuitan,CN,26.4111,111.5956,67.01,71,96,8.19,overcast clouds
280,Salinas,US,36.6777,-121.6555,60.21,75,1,4.61,clear sky
281,Kahului,US,20.8947,-156.47,76.84,69,20,10.36,few clouds
282,Gazojak,TM,41.1875,61.4036,52.79,18,93,12.1,overcast clouds
283,Aklavik,CA,68.2191,-135.0107,20.43,88,6,5.5,clear sky
284,Vredendal,ZA,-31.6683,18.5012,65.97,60,0,12.66,clear sky
285,Nador,MA,35.174,-2.9287,71.85,78,20,6.91,few clouds
286,Muros,ES,42.7762,-9.0603,81.68,71,61,7.49,broken clouds
287,Prado,BR,-17.3411,-39.2208,81.23,62,20,12.26,few clouds
288,Vostok,RU,46.4856,135.8833,37.02,86,82,5.37,broken clouds
289,Burnie,AU,-41.0667,145.9167,46.94,86,53,8.57,broken clouds
290,Sao Filipe,CV,14.8961,-24.4956,80.53,76,19,8.79,few clouds
291,Kirakira,SB,-10.4544,161.9205,78.66,86,95,8.95,overcast clouds
292,Piacabucu,BR,-10.4056,-36.4344,82.96,58,94,9.66,overcast clouds
293,Kanchanaburi,TH,14.6333,99.1,75.65,91,100,2.89,light rain
294,Hecun,CN,36.5333,114.1111,54.88,85,100,2.42,light rain
295,Khatanga,RU,71.9667,102.5,11.43,96,99,4.12,overcast clouds
296,La Asuncion,VE,11.0333,-63.8628,87.53,62,1,11.5,clear sky
297,Mercedes,AR,-34.6515,-59.4307,63.79,36,0,4.7,clear sky
298,Dumas,US,35.8656,-101.9732,76.66,35,1,14.97,clear sky
299,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,68,61,10.92,broken clouds
300,San Isidro,PE,-12.1167,-77.05,65.5,91,75,5.01,broken clouds
301,Sakakah,SA,29.9697,40.2064,87.37,19,0,15.48,clear sky
302,Ilulissat,GL,69.2167,-51.1,28.42,50,20,4.61,few clouds
303,Madang,PG,-5.2246,145.7966,75.52,93,35,3.58,scattered clouds
304,Talnakh,RU,69.4865,88.3972,35.46,100,100,7.54,moderate rain
305,Zeya,RU,53.75,127.2667,29.21,95,51,3.44,broken clouds
306,Pitimbu,BR,-7.4706,-34.8086,88.39,67,98,11.95,overcast clouds
307,Nioro,GM,13.35,-15.75,93.65,48,100,3.31,overcast clouds
308,Grand Gaube,MU,-20.0064,57.6608,73.38,75,2,1.01,clear sky
309,Rovaniemi,FI,66.5,25.7167,38.61,93,75,14.97,broken clouds
310,Midland,US,31.9974,-102.0779,86.05,29,1,8.05,clear sky
311,Bengkulu,ID,-3.8004,102.2655,75.94,89,98,3.62,light rain
